co2(ppm),temperature(C),humidity(%)
787.0,25.088120851453425,19.7940032043946
758.0,24.647516594186314,20.12359807736324
777.0,24.385824368657964,20.535591668574043
772.0,24.153505760280765,20.81177996490425
754.0,23.907835507743954,21.033035782406348
770.0,23.694209201190205,21.284809643701838
